11.538 2.424 11.280 6.602 8.175 13.795 12.473 5.026 15.970 10.318 4.702 10.196 9.663 4.695 4.472 11.133 5.863 10.664 6.774 7.332 13.095 12.065 4.965 14.550 11.918 7.482 2.868 3.415 9.392 6.410 12.631 13.391 11.322 10.712 15.921 10.180 10.554 3.729 10.971 2.704 12.232 5.219 11.798 7.489 13.881
8.325 8.392 11.040 11.935 9.548 11.524 7.988 8.130 4.778 5.383 7.536 7.869 7.205 3.967 5.137 7.881 7.860 12.721 13.110 11.949 7.927 1.257 3.469 5.942 1.373 2.420 8.006 12.367 14.541 12.720 2.769 8.295 12.866 14.886 13.201 8.838 11.735 13.252 11.014 7.410 11.091 11.648 4.358 6.281 4.124
16.228 17.943 10.933 13.972 11.455 5.261 13.348 19.119 4.686 5.923 5.517 7.760 12.861 17.755 10.409 5.307 16.100 8.148 7.204 13.460 18.099 10.861 2.519 16.229 7.415 10.651 12.888 9.455 9.004 10.800 6.368 13.159 3.688 7.277 12.999 9.510 3.256 13.593 11.499 12.035 19.349 4.509 10.657 13.109 17.864
1.318 18.089 16.590 10.135 2.136 8.291 7.324 9.023 7.571 17.847 16.134 10.318 1.317 7.106 6.238 8.162 7.686 3.555 12.964 18.996 16.679 18.234 11.410 10.832 13.105 17.196 14.326 16.128 8.914 10.042 11.142 10.904 10.734 9.666 6.828 7.014 5.841 8.936 8.961 2.311 5.741 10.099 7.479 10.598 6.381
5.560 9.536 11.098 2.789 4.886 2.313 8.650 8.814 8.953 5.556 7.239 8.239 3.268 7.674 5.844 8.117 8.089 3.270 11.717 8.426 10.962 3.311 5.589 10.518 13.383 9.308 12.327 6.487 7.803 9.332 7.584 1.563 10.355 9.751 11.099 6.896 8.939 10.596 6.232 9.981 9.294 9.756 3.690 12.393 13.126
8.978 11.830 4.706 5.383 9.108 12.919 11.403 8.659 12.334 13.121 11.124 12.802 10.858 13.776 11.890 8.417 10.639 13.300 9.200 3.173 5.666 1.416 10.724 6.710 7.431 10.262 15.999 13.066 13.023 15.522 7.359 10.387 9.398 9.639 11.524 7.440 2.891 9.766 7.468 5.509 8.129 4.057 9.844 5.689 6.450
15.474 24.443 22.977 19.128 23.052 1.324 15.910 23.067 16.300 11.147 9.610 6.898 8.888 16.157 4.721 8.204 5.867 4.511 6.269 6.866 24.735 8.602 7.219 8.295 7.693 3.109 23.260 7.522 8.412 7.096 9.032 19.542 4.555 6.174 4.986 23.461 8.381 8.096 8.307 16.252 23.723 16.547 8.972 1.260 9.663
1.258 5.936 5.002 8.214 4.548 16.245 8.399 6.925 1.264 6.551 4.840 7.104 3.443 17.477 7.516 5.759 2.168 6.945 11.122 8.637 15.324 8.965 9.570 4.763 6.247 7.208 19.033 9.189 7.655 4.585 6.268 24.301 6.944 4.499 8.512 20.101 5.434 3.229 5.341 22.983 22.737 15.855 3.301 8.423 7.334
19.711 7.687 7.161 4.825 9.055 4.585 6.214 6.282 4.975 23.819 21.497 18.842 23.462 16.892 22.541 25.321 17.615 3.382 5.918 3.150 7.475 8.418 4.554 7.056 3.436 5.420 5.333 10.013 6.338 4.530 7.528 2.196 9.309 7.184 1.251 8.425 8.026 6.895 8.382 9.012 8.615 1.261 7.273 9.686 8.279
6.903 6.307 7.220 6.389 11.233 7.223 8.308 4.547 8.637 9.074 7.551 5.408 8.982 8.008 8.401 3.199 8.455 4.830 7.174 6.921 6.197 4.971 7.679 4.569 3.442 6.556 9.291 1.249 5.904 2.195 8.557 9.976 4.531 3.358 5.332 8.267 5.897 9.636 4.740 9.663 8.399 8.994 7.042 1.255 7.471
6.489 1.252 9.307 5.897 7.415 3.458 4.846 17.530 2.170 5.870 8.226 9.589 8.909 8.554 6.888 15.450 4.720 9.695 7.055 8.310 4.570 4.984 16.311 1.255 8.445 8.037 10.018 6.202 23.068 8.995 3.072 3.335 7.676 22.946 7.464 5.284 8.979 23.096 8.360 7.181 20.188 5.362 19.118 4.553 15.929
5.333 8.074 6.597 8.134 9.472 11.379 7.480 2.479 6.698 5.008 11.777 4.753 9.085 10.901 2.830 3.996 7.613 13.032 2.990 5.100 11.500 2.832 7.049 10.249 13.270 11.910 14.074 13.432 8.616 10.153 7.253 8.786 2.995 7.670 8.193 13.808 7.760 9.042 12.780 11.105 12.672 5.640 6.158 9.188 8.262
